Days,Mean,St dev,co relation
298,9972.95,1990.389607,0.968381447
299,9981.25,1549.112203,0.854374438
300,9808.35,1286.918608,0.913847855
301,9607.05,1312.31934,0.915623723
302,9446.15,1149.45169,0.960048782
303,8948.7,1766.019077,0.415462227
304,9043.5,1222.678488,0.43414114
305,8964.55,1127.797783,0.948689041
306,8931.55,1107.925443,0.896319239
307,8944.95,1055.509778,0.873173238
308,8835.3,1273.162498,0.881647065
309,8570,1272.535017,0.873372864
310,8821.25,1244.425036,0.749007751
311,8651.95,1203.278743,0.783031611
312,8425.45,1196.205997,0.849062568
313,8266.25,1503.020638,0.863695621
314,7995.7,1339.442347,0.959591158
315,8051,1306.631668,0.925614167
316,8020.5,1372.104549,0.957184933
317,7820.6,1547.304291,0.967998924
318,7734.5,1537.667252,0.980923145
319,7722,1343.559412,0.976926275
320,7777.25,1069.005336,0.741962615
321,7707.1,1277.381363,0.875129425
322,7726.7,1088.375907,0.921413498
323,7770.75,1096.975549,0.889043293
324,7438.35,916.6562964,0.928585288
325,7310.55,918.5876158,0.874179238
326,7260.1,930.6321507,0.91602073
327,7168.1,1044.049701,0.723991037
328,7092.4,984.9941704,0.86870473
329,7040.05,1061.579036,0.852618149
330,6969.45,1006.036699,0.94437603
331,6768.75,933.2546826,0.943334702
332,6662.45,951.5466897,0.874750583
333,6771.75,1066.513349,0.857052192
334,6628.5,1022.846673,0.863531594
335,6649.15,953.4693037,0.798933305
336,6538.15,937.6090687,0.962035048
337,6707.55,1030.40199,0.940370548
338,6667.2,1046.60884,0.957198513
339,6577.75,898.2218033,0.904781997
340,8922.05,11311.67025,-0.441615225
341,6483.7,874.2659538,-0.496535091
342,6406.9,847.3094197,0.853216614
343,6476.65,801.1618061,0.880725564
344,6570.25,996.5228957,0.84022384
345,6379.7,834.7799647,0.894107169
346,6351.5,938.2010502,0.950650746
347,6459.9,1257.006255,0.706632385
348,6268.7,832.4557899,0.854809005
349,6377.45,771.1526898,0.823256078
350,6441.1,964.3364176,0.741212394
351,6121.45,621.4353906,0.514316976
352,6052.5,710.7986983,0.855217066
353,6000.95,774.9714069,0.79708696
354,5930.3,855.6906782,0.920705766
355,5840.9,708.6328498,0.834762369
356,5763.3,751.668747,0.778594178
357,5830.25,822.6119425,0.772174944
358,6101.15,930.8718197,0.87184583
359,5708.85,838.1692628,0.792831558
360,5708.6,765.6428603,0.796110602
361,5659,787.1645986,0.822762824
362,5569.15,840.048888,0.809518754
363,5650.35,680.2366674,0.814241293
364,5662.65,728.241738,0.855045306
365,5628.5,689.9272654,0.826219977
366,5918,2539.436759,0.579922592
