Time,Levels(ft),Inflows(Cs),Disch(Cs)
2000.519,1530.6,41386,27889
2000.522,1532.39,39640,25835
2000.525,1533.56,34918,25893
2000.527,1535.03,36589,25250
2000.53,1536.64,36604,24107
2000.533,1538.2,35951,24000
2000.536,1539.83,36465,23893
2000.538,1541.62,40730,23654
2000.541,1544.46,49898,22264
2000.544,1550.54,79879,20721
2000.546,1555.73,71787,21288
2000.549,1559.5,56671,19987
2000.552,1562.57,54526,19951
2000.555,1566.61,66010,19305
2000.557,1570.42,63190,19145
2000.56,1573.8,58172,19097
2000.563,1576.9,54838,19000
2000.566,1579.66,52482,20575
2000.568,1582.57,58401,20730
2000.571,1585.22,57345,22554
2000.574,1588.02,59925,23165
2000.577,1590.83,59893,23000
2000.579,1594.55,71785,22945
2000.582,1598.36,72856,22835
2000.585,1603.98,102724,22889
2000.587,1607.63,76527,23055
2000.59,1610.13,59626,23000
2000.593,1611.74,46696,23111
2000.596,1613.02,41699,22945
2000.598,1614.29,41768,23166
2000.601,1615.45,40726,23731
2000.604,1616.58,41763,25208
2000.607,1617.78,42313,24732
2000.609,1619.12,42037,22409
2000.612,1620.17,38387,22733
2000.615,1621.16,39077,23000
2000.617,1622.3,41518,23000
2000.62,1623.52,42813,23000
2000.623,1624.71,42226,22897
2000.626,1625.71,38750,22511
2000.628,1626.65,37812,22541
2000.631,1627.77,40635,22447
2000.634,1628.68,37335,22553
2000.637,1629.62,37765,22500
2000.639,1630.48,36418,22447
2000.642,1631.35,36627,22500
2000.645,1632.12,35062,22553
2000.648,1632.71,31657,22075
2000.65,1633.29,31844,22426
2000.653,1633.98,33099,21893
2000.656,1635.01,38837,22101
2000.658,1636.42,44851,21947
2000.661,1637.52,39863,22000
2000.664,1638.51,38027,21946
2000.667,1639.67,40733,21894
2000.669,1640.58,37841,22106
2000.672,1641.27,34020,21681
2000.675,1641.93,34123,22319
2000.678,1642.69,35702,22107
2000.68,1643.59,38094,22000
2000.683,1644.45,37326,21947
2000.686,1645.2,35412,22000
2000.689,1645.83,33054,21787
2000.691,1646.34,31177,22053
2000.694,1646.62,27062,22053
2000.697,1646.77,24735,22053
2000.699,1646.88,23808,21841
2000.702,1646.99,23968,22000
2000.705,1647.12,24215,21893
2000.708,1647.22,23789,22000
2000.71,1647.28,23070,22000
2000.713,1647.38,23788,22000
2000.716,1647.48,23789,22000
2000.719,1647.57,23662,22053
2000.721,1647.7,23310,20985
2000.724,1647.8,22788,21000
2000.727,1647.77,20464,21000
2000.73,1647.59,17678,20897
2000.732,1647.35,16707,21000
2000.735,1647,14535,20794
